,date,login_cnt,purchase_sum,purchase_cnt
0,2013-10-31,61,3.99,1
1,2013-11-01,312,25.979999999999997,2
2,2013-11-02,745,26.95,5
3,2013-11-03,1127,27.940000000000005,6
4,2013-11-04,1195,248.84000000000003,16
5,2013-11-05,1360,325.7200000000001,28
6,2013-11-06,1558,489.6000000000003,40
7,2013-11-07,1674,857.2100000000005,79
8,2013-11-08,1720,667.4500000000004,55
9,2013-11-09,2074,471.46000000000026,54
10,2013-11-10,2104,632.2100000000005,79
11,2013-11-11,2130,661.2100000000006,79
12,2013-11-12,2165,877.9900000000006,101
13,2013-11-13,2179,659.1100000000006,89
14,2013-11-14,2335,1282.9000000000008,110
15,2013-11-15,2741,936.9300000000007,107
16,2013-11-16,3122,1030.9100000000008,109
17,2013-11-17,3239,1573.4900000000011,151
18,2013-11-18,3025,2086.43,157
19,2013-11-19,3028,1876.2000000000014,180
20,2013-11-20,3153,1819.9800000000016,202
21,2013-11-21,3445,1991.1900000000014,181
22,2013-11-22,4307,1810.1600000000012,184
23,2013-11-23,4836,1998.5200000000011,148
24,2013-11-24,5325,2099.1300000000006,187
25,2013-11-25,4482,1587.3100000000013,169
26,2013-11-26,4429,3492.5299999999806,247
27,2013-11-27,4450,2370.8299999999945,217
28,2013-11-28,4320,2141.9299999999953,207
29,2013-11-29,4161,2223.7999999999984,220
30,2013-11-30,4196,1926.1100000000015,189
31,2013-12-01,4141,1627.1500000000015,185
32,2013-12-02,4079,2603.229999999993,177
33,2013-12-03,4218,2423.9099999999885,209
34,2013-12-04,4184,1264.3800000000012,162
35,2013-12-05,4154,2018.7000000000019,230
36,2013-12-06,4210,2368.689999999993,231
37,2013-12-07,4372,2138.23,177
38,2013-12-08,4454,1908.9100000000017,209
39,2013-12-09,4331,2151.26,174
